name	deaths
First Sierra Leone War of 1991-1996	7500
Punjab Rebellion of 1989-1993	7500
Second Afghan Anti-Reform War of 1928-1929	7500
Austro-Sardinian	7527
Arab-Israeli	8000
First Iraqi Kurds War of 1961-1963	8000
Mexican Reform of 1858-1861	8000
Second Chechen War of 1999-2003	8000
Second Zhili-Fengtien War  of 1924	8000
Vietnamese-Cambodian	8000
War over the Aouzou Strip	8000
Abkhazia Revolt of 1992-1994	8046
Baluchi Separatists War of 1973-1977	8600
Bandit War of 1863	9000
Fourth Guatemala of 1987 to 1990	9000
Libyan Civil War of 2011	9000
Meiji Restoration of 1868-1869	9000
Green Rebellion of 1920-1921	9200
Third Angolan War of 1998-2002	9600
Anti-Khomeini Coalition War of 1979-1983	10000
Asir-Yemen Revolt of 1909-1911	10000
Cultural Revolution phase 1 of 1967	10000
Cultural Revolution phase 2 of 1967-1968	10000
Darfur Rebellion of 2003-2006	10000
Druze Rebellion of 1895-1896	10000
First Chechnya War of 1994-1996	10000
First Gansu Muslim War of 1895-1896	10000
First Laotian War of 1960-1968	10000
First Spanish-Moroccan	10000
Liangshan Rebellion of 1955-1957	10000
Mahdist Rebellion phase 1 of 1881-1882	10000
Second Carlist War of 1847-1849	10000
Second Spanish-Moroccan	10000
Second Sri Lanka-JVP War of 1987-1989	10000
Second Yemeni Imamate Rebellion of 1898-1899	10000
Tajikistan War of 1992-1997	10000
Third Khmer Rouge War of 1993-1998	10000
Xinjiang Muslim Revolt of 1864-1866	10000
Conquest of Egypt	10079
Second Ogaden War, Phase 2	10500
Zaili-Jinden Revolt of 1891	10500
Iraqi Sunni Revolt of 2010-2014	10574
Rhodesia War of 1976-1979	10950
First Caucasus War of 1818-1822	11000
Hungarian Adversaries	11000
Bangladesh	11223
Huk Rebellion of 1950-1954	11273
Second Polish War of 1863-1864	11500
Estonian Liberation	11750
Third Somalia War of 2006-2012	11816
Cabanos Revolt of 1835-1837	12000
Fifth Venezuelan War of 1901-1903	12000
Sino-French	12100
Shining Path War of 1982-1992	12708
Second Liberian War of 1992-1996	12750
Inkatha-ANC War of 1987-1994	13000
Eritrean War of 1975-1979	13100
Latvian Liberation	13246
Satsuma Rebellion of 1877	13399
Second Laotian, Phase 2	13866
War of the Pacific	13868
Azeri-Armenian	14000
La Violencia second wave of 1955-1962	14000
Yom Kippur War	14439
Mujahideen Uprising of 1978-1980	14900
Canudos Revolt of 1896-1897	15000
First Albanian Revolt of 1830-1832	15000
First Sino-Japanese	15000
Second Lebanese War of 1975-1976	15000
Third Syrian War of 1840-1841	15014
First Syrian War of 1831-1832	16000
Druze Rebellion of 1837-1838	17000
Mexican-American	19283
Six Day War	19600
Dagestan Rebellion of 1920-1921	19688
Conquest of Ethiopia	20000
Farroupilha War of 1835-1845	20000
Franco-Mexican	20000
Indonesia Darul Islam Rebellion of 1951-1962	20000
Italian-Turkish	20000
Negus Mikael Revolt of 1916-1917	20000
Pakistan - Bengal War of 1971	20000
Second Gansu Muslim Revolt of 1928-1929	20000
Third Sri Lanka Tamil War of 2006-2009	20000
Tibetan Khamba Rebellion of 1956-1959	20000
Miguelite War of 1832-1834	20100
Mozambique War of 1981-1992	20560
Sino-Vietnamese Punitive	21000
Paris Commune War of 1871	21379
Third Guatemala War of 1978-1983	21700
Polish Ukrainians War of 1945-1947	21800
Second Ogaden War phase 3 of 1978-1980	22000
Italian Unification	22500
Bosnia and Bulgaria Revolt of 1875-1876	23000
Kashmir Insurgency of 1992-2005	23476
El Salvador War of 1979-1992	24000
Finnish Civil War of 1918	24150
First Somalia War of 1988-1991	25000
Algeria's Islamic Front War of 1992-2002	25200
Nomonhan	28000
Turkey-PKK War of 1991-1999	28057
First Cretan War of 1866-1868	30000
First Philippines - NPA War of 1981-1992	30000
Ili Uprising of 1944-1945	30000
KMT-CCP Clashes of 1939-1941	31000
First Philippine - Moro War of 1972-1981	32000
Second Somalia War of 1991-1997	32070
Contra War of 1982-1988	32400
First Polish War of 1831	35000
La Violencia first wave of 1948-1953	36000
FARC/ELN War of 1988-present	36288
Second Waziristan War of 2007-present	36985
Afghanistan Post-Communist War of 1992-2001	40000
Franco-Turkish	40000
Second Afghan Civil War of 1989-1992	40000
Venezuelan Federal War of 1859-1863	40000
Gulf War	41466
Seven Weeks	44100
Biafra War of 1967-1970	45000
Third Yemeni Imamate Rebellion of 1902-1906	45000
Uganda-NRA War of 1982-1986	45516
Bosnian-Serb Rebellion of 1992-1995	48953
Angolan War of the Cities of 1992-1994	50000
Forest Brethren War of 1945-1949	50000
Second Greco-Turkish	50000
Third Carlist War of 1872-1876	50000
North Yemen War of 1962-1970	53500
Second Sino-Japanese	60000
Second Balkan	60500
Chinese Northern Expedition of 1926-1928	65000
Greek Independence War of 1821-1828	65177
Vietnam War phase 1 of 1960-1965	66958
Greek Civil War round 3 of 1946-1949	68180
Third Burmese War of 1965-1993	69000
Second Sri Lanka Tamil War of 1990-2001	70000
Panthay Rebellion phase 2 of 1860-1874	75000
Second Nien Revolt  of 1860-1868	75000
Ukrainian Partisans War of 1945-1947	81600
First Balkan	82000
Cristeros Revolt of 1926-1929	90000
Chaco	92661
Central Plains War of 1929-1930	100000
Colombian War of the Thousand Days of 1899-1902	100000
First South Sudan War of 1963-1972	100000
Miao Rebellion phase 2 of 1860-1872	100000
Russo-Polish	100000
Second South Sudan War of 1983-2002	100000
First Khmer Rouge War of 1971-1975	100398
Angolan Control War of 1976-1991	102600
Hungarian War of 1848-1849	104600
Mayan Caste War phase 2 of 1848-1855	105000
Badme Border	120000
Syrian Arab Spring War of 2011 to present	120020
First Russo-Turkish	130000
First Carlist War of 1834-1840	130550
Africa's World War of 1998-2002	145000
Fourth Mexican War of 1914-1920	150015
Third Mexican War of 1910-1914	150022
Russo-Finnish	151798
Russo-Japanese	151831
Tungan Rebellion of 1862-1873	200000
Franco-Prussian	204313
Tigrean & Eritrean War of 1982-1991	235500
Taiping Rebellion phase 2 of 1860-1866	250025
Crimean	264200
Second Russo-Turkish	285000
Spanish Civil War of 1936-1939	309400
Lopez	310000
Chinese Civil War phase 1 of 1930-1936	400000
U.S. Civil War of 1861-1865	618000
Korean	910084
Third Sino-Japanese	1000000
Vietnam War, Phase 2	1021442
Russian Civil War of 1917-1920	1029225
Chinese Civil War phase 2 of 1945-1950	1200000
Iran-Iraq	1250000
World War I	8578031
World War II	16634907
